t,u,v,theta
0,1,0.5,1
0.1000200040008,1.04355319258256,0.435888711233387,1.03572457880652
0.2000400080016,1.08189046816758,0.380663768092086,1.07217688808589
0.3000600120024,1.12022774375259,0.325438824950784,1.10862919736525
0.400080016003201,1.14986743173666,0.290380301034621,1.14501284020786
0.500100020004001,1.17707181450002,0.260968329734595,1.18137725660062
0.600120024004801,1.20373847292996,0.233321069240858,1.21765430630662
0.700140028005601,1.22592840231386,0.220365597147797,1.25320400007962
0.800160032006401,1.24771881161224,0.209174300520586,1.28870217398287
0.900180036007201,1.26822098029854,0.20367153511937,1.32403422360116
1.000200040008,1.28849368283201,0.199760246949804,1.35944318434845
1.1002200440088,1.30836923254337,0.198603437669846,1.39498526046616
1.2002400480096,1.32824478225474,0.197446628389889,1.43052733658386
1.3002600520104,1.3482043681005,0.198507132680934,1.46653198062879
1.4002800560112,1.36817573278287,0.199878424402605,1.50260146002199
1.500300060012,1.38814709746525,0.201249716124276,1.53867093941519
1.6003200640128,1.40855501889864,0.20350190688592,1.57510224805018
1.7003400680136,1.4291497515012,0.206131051569806,1.61168839049209
1.8003600720144,1.44974448410376,0.208760196253692,1.64827453293401
1.9003800760152,1.47090578916028,0.211724285450032,1.68494562312846
2.000400080016,1.49258265019057,0.214993159397326,1.7216940120355
2.1004200840168,1.51425951122086,0.218262033344619,1.75844240094254
2.2004400880176,1.53593637225114,0.221530907291912,1.79519078984958
2.3004600920184,1.55832556070339,0.225149890183458,1.8316488051519
2.4004800960192,1.5814358396745,0.229123289081575,1.8678128746551
2.50050010002,1.6045461186456,0.233096687979693,1.90397694415831
2.6005201040208,1.6276563976167,0.237070086877811,1.94014101366151
2.7005401080216,1.65175601493823,0.241455798632127,1.97534165405209
2.8005601120224,1.67667871862681,0.246184536703733,2.00974076343168
2.9005801160232,1.70160142231539,0.250913274775339,2.04413987281127
3.000600120024,1.72652412600397,0.255642012846946,2.07853898219086
3.1006201240248,1.75186795177375,0.260554268366863,2.11230217305668
3.20064012802561,1.77911614382909,0.266296412550868,2.14318966152628
3.30066013202641,1.80636433588443,0.272038556734874,2.17407714999588
3.40068013602721,1.83361252793978,0.277780700918879,2.20496463846548
3.50070014002801,1.86086071999512,0.283522845102884,2.23585212693508
3.60072014402881,1.89002365611857,0.290116059282249,2.26294411606668
3.70074014802961,1.92029007002263,0.297199749888861,2.28784873757276
3.80076015203041,1.95055648392668,0.304283440495472,2.31275335907884
3.90078015603121,1.98082289783074,0.311367131102083,2.33765798058492
4.00080016003201,2.01108931173479,0.318450821708694,2.362562602091
4.10082016403281,2.0443644870507,0.326936558240506,2.38045392791014
4.20084016803361,2.07867448892475,0.335904511259614,2.39593311675877
4.30086017203441,2.1129844907988,0.344872464278721,2.4114123056074
4.40088017603521,2.14729449267285,0.353840417297829,2.42689149445604
4.50090018003601,2.1816044945469,0.362808370316936,2.44237068330467
4.60092018403681,2.21878063983831,0.373178034514721,2.45074757858312
4.70094018803761,2.25865979122584,0.384869626232945,2.45242643401464
4.80096019203841,2.29853894261336,0.396561217951169,2.45410528944616
4.90098019603921,2.33841809400089,0.408252809669393,2.45578414487768
5.00100020004001,2.37829724538841,0.419944401387618,2.45746300030921
5.10102020404081,2.41817639677593,0.431635993105842,2.45914185574073
5.20104020804161,2.46516334887921,0.446962167075159,2.44420964895902
5.30106021204241,2.51291547521845,0.462679613789482,2.42748921578413
5.40108021604321,2.56066760155769,0.478397060503804,2.41076878260924
5.50110022004401,2.60841972789693,0.494114507218127,2.39404834943435
5.60112022404481,2.65617185423616,0.50983195393245,2.37732791625945
5.70114022804561,2.7039239805754,0.525549400646772,2.36060748308456
5.80116023204641,2.76235045371535,0.546854245797674,2.32395636001369
5.90118023604721,2.8213108249436,0.568438555481579,2.28630836496252
6.00120024004801,2.88027119617184,0.590022865165485,2.24866036991135
6.10122024404881,2.93923156740008,0.61160717484939,2.21101237486018
6.20124024804961,2.99819193862832,0.633191484533295,2.17336437980901
6.30126025205041,3.05715230985656,0.654775794217201,2.13571638475784
6.40128025605121,3.12882333178845,0.682878377814941,2.08341619543952
6.50130026005201,3.2033471692676,0.712443941837236,2.02782742486901
6.60132026405281,3.27787100674676,0.74200950585953,1.97223865429851
6.70134026805361,3.35239484422591,0.771575069881824,1.91664988372801
6.80136027205441,3.42691868170507,0.801140633904119,1.8610611131575
6.90138027605521,3.50144251918422,0.830706197926413,1.805472342587
7.00140028005601,3.58992046201219,0.866942474362075,1.74382353548872
7.10142028405681,3.6829858187488,0.905371748352267,1.68018249061098
7.20144028805761,3.77605117548541,0.943801022342459,1.61654144573324
7.30146029205841,3.86911653222202,0.982230296332651,1.5529004008555
7.40148029605921,3.96218188895863,1.02065957032284,1.48925935597776
7.50150030006001,4.07105992001523,1.06552807566705,1.42667578519205
7.60152030406081,4.18288836685826,1.1115980482302,1.36428952374135
7.70154030806161,4.29471681370129,1.15766802079335,1.30190326229065
7.80156031206241,4.40654526054433,1.2037379933565,1.23951700083995
7.90158031606321,4.53415342164115,1.2546341811466,1.18226582803125
8.00160032006401,4.66475364532253,1.30644548931045,1.12598834247361
8.10162032406481,4.79535386900391,1.3582567974743,1.06971085691596
8.20164032806561,4.92952848739166,1.41073159814281,1.01501503904594
8.30166033206641,5.0793940715744,1.466119014527,0.967262464892444
8.40168033606721,5.22925965575713,1.52150643091119,0.919509890738951
8.50170034006801,5.37912523993987,1.57689384729539,0.871757316585459
8.60172034406881,5.54229450048158,1.63277478952104,0.830338332526626
8.70174034806961,5.71170079837082,1.68888710682092,0.791888665887911
