0,-0.41832,-0.48894,-0.69096,-1.0412,-1.3518,-1.3518,-1.0412,-0.69096,-0.48894,-0.41832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.012315,-0.40618,-0.47681,-0.67882,-1.029,-1.3397,-1.3397,-1.029,-0.67882,-0.47681,-0.40618,0.97087,0.97085,0.9713,0.97268,0.97428,0.97428,0.97268,0.9713,0.97085,0.97087,0.951,0.951,0.95099,0.96754,0.96753,0.96753,0.96754,0.95099,0.951,0.951
0.02463,-0.3944,-0.46503,-0.66704,-1.0172,-1.3278,-1.3278,-1.0172,-0.66704,-0.46503,-0.3944,0.94209,0.94206,0.94295,0.94562,0.94881,0.94881,0.94562,0.94295,0.94206,0.94209,0.9044,0.9044,0.90436,0.93646,0.9364,0.9364,0.93646,0.90436,0.9044,0.9044
0.036945,-0.38298,-0.4536,-0.6556,-1.0057,-1.3163,-1.3163,-1.0057,-0.6556,-0.4536,-0.38298,0.91365,0.91361,0.91494,0.9188,0.92358,0.92358,0.9188,0.91494,0.91361,0.91365,0.86008,0.86008,0.86,0.9067,0.90655,0.90655,0.9067,0.86,0.86008,0.86008
0.049259,-0.3719,-0.44253,-0.6445,-0.99459,-1.3051,-1.3051,-0.99459,-0.6445,-0.44253,-0.3719,0.88554,0.88549,0.88726,0.89222,0.89858,0.89858,0.89222,0.88726,0.88549,0.88554,0.81794,0.81794,0.8178,0.8782,0.87793,0.87793,0.8782,0.8178,0.81794,0.81794
0.11083,-0.32159,-0.39222,-0.59402,-0.94367,-1.2535,-1.2535,-0.94367,-0.59402,-0.39222,-0.32159,0.74953,0.74942,0.75338,0.76264,0.77683,0.77683,0.76264,0.75338,0.74942,0.74953,0.63652,0.63654,0.63589,0.75268,0.75147,0.75147,0.75268,0.63589,0.63654,0.63652
0.17241,-0.27944,-0.35008,-0.55157,-0.90056,-1.2093,-1.2093,-0.90056,-0.55157,-0.35008,-0.27944,0.62021,0.62004,0.62617,0.63819,0.66007,0.66007,0.63819,0.62617,0.62004,0.62021,0.49685,0.49689,0.49546,0.65154,0.6489,0.6489,0.65154,0.49546,0.49689,0.49685
0.23398,-0.24509,-0.31575,-0.51679,-0.86498,-1.1721,-1.1721,-0.86498,-0.51679,-0.31575,-0.24509,0.49662,0.49639,0.50466,0.51838,0.54777,0.54777,0.51838,0.50466,0.49639,0.49662,0.39075,0.39082,0.38842,0.57016,0.56576,0.56576,0.57016,0.38842,0.39082,0.39075
0.29556,-0.2182,-0.28887,-0.48934,-0.83664,-1.1418,-1.1418,-0.83664,-0.48934,-0.28887,-0.2182,0.37796,0.3777,0.38807,0.40281,0.43953,0.43953,0.40281,0.38807,0.3777,0.37796,0.31173,0.31182,0.30831,0.50488,0.49847,0.49847,0.50488,0.30831,0.31182,0.31173
0.3797,-0.19296,-0.26365,-0.46313,-0.80916,-1.1108,-1.1108,-0.80916,-0.46313,-0.26365,-0.19296,0.2228,0.22249,0.23567,0.25131,0.29764,0.29764,0.25131,0.23567,0.22249,0.2228,0.23867,0.23881,0.23362,0.43663,0.42722,0.42722,0.43663,0.23362,0.23881,0.23867
0.46385,-0.18047,-0.25119,-0.44944,-0.79413,-1.0915,-1.0915,-0.79413,-0.44944,-0.25119,-0.18047,0.074912,0.074594,0.090455,0.10694,0.16232,0.16232,0.10694,0.090455,0.074594,0.074912,0.19768,0.19785,0.1909,0.38769,0.37512,0.37512,0.38769,0.1909,0.19785,0.19768
0.548,-0.18016,-0.25091,-0.44772,-0.79097,-1.0833,-1.0833,-0.79097,-0.44772,-0.25091,-0.18016,-0.066201,-0.066503,-0.048115,-0.030412,0.033344,0.033344,-0.030412,-0.048115,-0.066503,-0.066201,0.18138,0.18158,0.17285,0.35379,0.33801,0.33801,0.35379,0.17285,0.18158,0.18138
0.63215,-0.19145,-0.26223,-0.45739,-0.79907,-1.0857,-1.0857,-0.79907,-0.45739,-0.26223,-0.19145,-0.20073,-0.20098,-0.18028,-0.16065,-0.089361,-0.089361,-0.16065,-0.18028,-0.20098,-0.20073,0.18385,0.18407,0.17362,0.33159,0.31263,0.31263,0.33159,0.17362,0.18407,0.18385
0.72893,-0.218,-0.2888,-0.48185,-0.82149,-1.1009,-1.1009,-0.82149,-0.48185,-0.2888,-0.218,-0.34714,-0.34729,-0.32428,-0.30132,-0.22261,-0.22261,-0.30132,-0.32428,-0.34729,-0.34714,0.204,0.20422,0.19198,0.31726,0.29479,0.29479,0.31726,0.19198,0.20422,0.204
0.82572,-0.25827,-0.32907,-0.51981,-0.85702,-1.1285,-1.1285,-0.85702,-0.51981,-0.32907,-0.25827,-0.48368,-0.48368,-0.45887,-0.43141,-0.34695,-0.34695,-0.43141,-0.45887,-0.48368,-0.48368,0.23709,0.23731,0.22365,0.312,0.28633,0.28633,0.312,0.22365,0.23731,0.23709
