Var1,y1_1,y1_2,y1_3
66.03,54.4258430764645,0.0617073656908945,8.79920369432894
66.04,54.4264603438057,0.0617461120386512,8.80251853379581
66.05,54.4270779988926,0.0617849148588469,8.80583124243561
66.06,54.4276960422906,0.0618237742699921,8.80914181232686
66.07,54.4283144745661,0.0618626903909432,8.8124502355314
66.08,54.4289332962869,0.0619016633409034,8.81575650409436
66.09,54.4295525080219,0.0619406932394244,8.81906061004414
66.1,54.430172110341,0.0619797802064075,8.82236254539235
66.11,54.4307921038157,0.0620189243621047,8.82566230213381
66.12,54.4314124890184,0.0620581258271202,8.82895987224646
66.13,54.4320332665228,0.0620973847224116,8.83225524769137
66.14,54.4326544369038,0.0621367011692911,8.8355484204127
66.15,54.4332760007375,0.062176075289427,8.83883938233762
66.16,54.4338979586013,0.0622155072048448,8.84212812537632
66.17,54.4345203110737,0.0622549970379285,8.84541464142195
66.18,54.4351430587346,0.0622945449114222,8.8486989223506
66.19,54.4357662021649,0.0623341509484309,8.85198096002125
66.2,54.436389741947,0.0623738152724224,8.85526074627571
66.21,54.4370136786642,0.0624135380072281,8.85853827293865
66.22,54.4376380129013,0.0624533192770448,8.86181353181748
66.23,54.4382627452444,0.0624931592064356,8.86508651470238
66.24,54.4388878762805,0.0625330579203316,8.86835721336621
66.25,54.4395134065982,0.0625730155440331,8.87162561956453
66.26,54.4401393367873,0.0626130322032109,8.87489172503549
66.27,54.4407656674386,0.0626531080239078,8.87815552149986
66.28,54.4413923991445,0.0626932431325397,8.88141700066096
66.29,54.4420195324984,0.0627334376558975,8.88467615420462
66.3,54.4426470680951,0.0627736917211477,8.88793297379912
66.31,54.4432750065308,0.0628140054558348,8.89118745109524
66.32,54.4439033484027,0.0628543789878816,8.8944395777261
66.33,54.4445320943094,0.0628948124455913,8.89768934530721
66.34,54.4451612448509,0.0629353059576488,8.9009367454364
66.35,54.4457908006283,0.0629758596531221,8.90418176969378
66.36,54.4464207622441,0.0630164736614634,8.9074244096417
66.37,54.4470511303021,0.063057148112511,8.91066465682474
66.38,54.4476819054073,0.0630978831364904,8.9139025027696
66.39,54.4483130881662,0.0631386788640159,8.91713793898516
66.4,54.4489446791865,0.063179535426092,8.92037095696236
66.41,54.4495766790771,0.0632204529541147,8.92360154817419
66.42,54.4502090884483,0.0632614315798732,8.92682970407565
66.43,54.4508419079119,0.0633024714355514,8.93005541610371
66.44,54.4514751380807,0.0633435726537289,8.93327867567728
66.45,54.452108779569,0.0633847353673831,8.93649947419715
66.46,54.4527428329926,0.0634259597098902,8.93971780304595
66.47,54.4533772989682,0.063467245815027,8.94293365358815
66.48,54.4540121781143,0.063508593816972,8.94614701716996
66.49,54.4546474710504,0.0635500038503075,8.94935788511934
66.5,54.4552831783976,0.0635914760500207,8.95256624874592
66.51,54.4559193007782,0.0636330105515052,8.955772099341
66.52,54.4565558388159,0.0636746074905626,8.95897542817746
66.53,54.4571927931357,0.0637162670034041,8.96217622650978
66.54,54.4578301643641,0.063757989226652,8.96537448557395
66.55,54.4584679531288,0.0637997742973412,8.96857019658743
66.56,54.4591061600591,0.0638416223529208,8.97176335074916
66.57,54.4597447857854,0.0638835335312556,8.97495393923945
66.58,54.4603838309397,0.0639255079706277,8.97814195321998
66.59,54.4610232961553,0.0639675458097382,8.98132738383378
66.6,54.4616631820668,0.0640096471877084,8.9845102222051
66.61,54.4623034893104,0.0640518122440818,8.98769045943949
66.62,54.4629442185235,0.0640940411188256,8.99086808662365
66.63,54.463585370345,0.064136333952332,8.99404309482546
66.64,54.4642269454153,0.0641786908854204,8.9972154750939
66.65,54.464868944376,0.0642211120593382,9.00038521845901
66.66,54.4655113678702,0.0642635976157631,9.00355231593188
66.67,54.4661542165425,0.0643061476968047,9.00671675850458
66.68,54.4667974910388,0.0643487624450057,9.00987853715009
66.69,54.4674411920065,0.0643914420033437,9.01303764282234
66.7,54.4680853200945,0.0644341865152332,9.01619406645608
66.71,54.4687298759529,0.0644769961245269,9.0193477989669
66.72,54.4693748602336,0.0645198709755174,9.02249883125113
66.73,54.4700202735895,0.0645628112129391,9.02564715418585
66.74,54.4706661166754,0.0646058169819695,9.02879275862883
66.75,54.4713123901472,0.0646488884282314,9.03193563541848
66.76,54.4719590946625,0.064692025697794,9.03507577537378
66.77,54.4726062308801,0.0647352289371752,9.03821316929429
66.78,54.4732537994607,0.0647784982933429,9.0413478079601
66.79,54.473901801066,0.0648218339137169,9.04447968213172
66.8,54.4745502363594,0.0648652359461706,9.04760878255012
66.81,54.4751991060059,0.0649087045390327,9.05073509993663
66.82,54.4758484106717,0.064952239841089,9.05385862499293
66.83,54.4764981510247,0.0649958420015841,9.05697934840098
66.84,54.4771483277342,0.0650395111702233,9.06009726082299
66.85,54.4777989414711,0.065083247497174,9.06321235290137
66.86,54.4784499929076,0.065127051133068,9.0663246152587
66.87,54.4791014827177,0.065170922229003,9.06943403849765
66.88,54.4797534115767,0.0652148609365444,9.07254061320097
66.89,54.4804057801614,0.065258867407727,9.07564432993144
66.9,54.4810585891504,0.0653029417950571,9.07874517923181
66.91,54.4817118392234,0.0653470842515141,9.08184315162475
66.92,54.4823655310619,0.0653912949305524,9.08493823761283
66.93,54.483019665349,0.0654355739861032,9.08803042767847
66.94,54.4836742427692,0.0654799215725764,9.09111971228386
66.95,54.4843292640085,0.0655243378448625,9.09420608187097
66.96,54.4849847297547,0.0655688229583343,9.09728952686145
66.97,54.4856406406968,0.0656133770688488,9.10037003765661
66.98,54.4862969975257,0.0656580003327493,9.10344760463738
66.99,54.4869538009336,0.0657026929068671,9.10652221816425
67,54.4876110516145,0.0657474549485234,9.10959386857724
67.01,54.4882687502638,0.0657922866155312,9.11266254619583
67.02,54.4889268975785,0.0658371880661973,9.11572824131891
67.03,54.4895854942573,0.0658821594593243,9.11879094422478
67.04,54.4902445410005,0.0659272009542122,9.12185064517106
67.05,54.4909040385097,0.0659723127106608,9.12490733439464
67.06,54.4915639874885,0.0660174948889712,9.12796100211166
67.07,54.4922243886419,0.0660627476499481,9.13101163851746
67.08,54.4928852426765,0.0661080711549016,9.13405923378649
67.09,54.4935465503005,0.0661534655656493,9.13710377807232
67.1,54.4942083122238,0.0661989310445182,9.14014526150756
67.11,54.4948705291579,0.0662444677543466,9.14318367420383
67.12,54.495533201816,0.0662900758584864,9.14621900625166
